EmployeeKey	ParentEmployeeKey	EmployeeNationalIDAlternateKey	ParentEmployeeNationalIDAlternateKey	FirstName	LastName	MiddleName	NameStyle	Title	HireDate	BirthDate	LoginID	EmailAddress	Phone	MaritalStatus	EmergencyContactName	EmergencyContactPhone	SalariedFlag	Gender	PayFrequency	BaseRate	VacationHours	SickLeaveHours	CurrentFlag	SalesPersonFlag	DepartmentName	Position
15	189	844973625	33237992	Sidney	Higa	M	False	Production Technician - WC10	Sunday, September 2, 2007	Friday, March 30, 1956	AW\sidney-higa	sidney-higa@adventureworks.com	424-555-0189	M	Sidney Higa	424-555-0189	False	M	1	$13.45	84	62	True	False	Production	
16	23	233069302	277173473	Taylor	Maxwell	R	False	Production Supervisor - WC50	Saturday, September 8, 2007	Monday, October 31, 1955	AW\taylor-maxwell	taylor-maxwell@adventureworks.com	508-555-0165	M	Taylor Maxwell	508-555-0165	False	M	2	$25	79	59	True	False	Production	
17	189	132674823	33237992	Jeffrey	Ford	L	False	Production Technician - WC10	Thursday, September 20, 2007	Thursday, February 9, 1956	AW\jeffrey-ford	jeffrey-ford@adventureworks.com	984-555-0185	S	Jeffrey Ford	984-555-0185	False	M	1	$13.45	85	62	True	False	Production	
18	23	446466105	277173473	Jo	Brown	A	False	Production Supervisor - WC60	Thursday, September 27, 2007	Tuesday, May 8, 1956	AW\jo-brown	jo-brown@adventureworks.com	632-555-0129	S	Jo Brown	632-555-0129	False	F	2	$25	80	60	True	False	Production	
19	189	565090917	33237992	Doris	Hartwig	M	False	Production Technician - WC10	Tuesday, October 9, 2007	Thursday, November 3, 1955	AW\doris-hartwig	doris-hartwig@adventureworks.com	328-555-0150	M	Doris Hartwig	328-555-0150	False	F	1	$13.45	86	63	True	False	Production	
20	23	494170342	277173473	John	Campbell	T	False	Production Supervisor - WC60	Tuesday, October 16, 2007	Wednesday, March 7, 1956	AW\john-campbell	john-campbell@adventureworks.com	435-555-0113	M	John Campbell	435-555-0113	False	M	2	$25	81	60	True	False	Production	
21	189	9659517	33237992	Diane	Glimp	R	False	Production Technician - WC10	Saturday, October 27, 2007	Friday, October 28, 1955	AW\diane-glimp	diane-glimp@adventureworks.com	202-555-0151	M	Diane Glimp	202-555-0151	False	F	1	$13.45	87	63	True	False	Production	
22	177	443968955	578935259	Steven	Selikoff	T	False	Production Technician - WC30	Tuesday, July 1, 2008	Sunday, December 12, 1976	AW\steven-selikoff	steven-selikoff@adventureworks.com	925-555-0114	M	Steven Selikoff	925-555-0114	False	M	1	$9.5	41	40	True	False	Production	
23	112	277173473	295847284	Peter	Krebs	J	False	Production Control Manager	Tuesday, July 1, 2008	Thursday, June 3, 1982	AW\peter-krebs	peter-krebs@adventureworks.com	913-555-0196	M	Peter Krebs	913-555-0196	True	M	2	$24.5192	43	41	True	False	Production Control	
24	201	835460180	332349500	Stuart	Munson	V	False	Production Technician - WC45	Wednesday, July 2, 2008	Friday, April 13, 1962	AW\stuart-munson	stuart-munson@adventureworks.com	413-555-0136	S	Stuart Munson	413-555-0136	False	M	1	$10	84	62	True	False	Production	
25	201	687685941	332349500	Greg	Alderson	F	False	Production Technician - WC45	Wednesday, July 2, 2008	Saturday, November 15, 1975	AW\greg-alderson	greg-alderson@adventureworks.com	332-555-0150	S	Greg Alderson	332-555-0150	False	M	1	$10	85	62	True	False	Production	
26	188	498138869	60114406	David	Johnson	N	False	Production Technician - WC30	Wednesday, July 2, 2008	Saturday, June 2, 1979	SQLSERVER2017\LabUser	david-johnson@adventureworks.com	166-555-0162	S	David Johnson	166-555-0162	False	M	1	$9.5	25	32	True	False	Production	
27	23	360868122	277173473	Zheng	Mu	W	False	Production Supervisor - WC10	Thursday, July 3, 2008	Thursday, May 26, 1983	AW\zheng-mu	zheng-mu@adventureworks.com	113-555-0173	S	Zheng Mu	113-555-0173	False	M	2	$25	66	53	True	False	Production	
28	111	964089218	45615666	Ivo	Salmre	William	False	Production Technician - WC20	Friday, July 4, 2008	Monday, August 3, 1981	AW\ivo-salmre	ivo-salmre@adventureworks.com	115-555-0179	M	Ivo Salmre	115-555-0179	False	M	1	$14	9	24	True	False	Production	
29	89	384162788	750905084	Paul	Komosinski	B	False	Production Technician - WC40	Friday, July 4, 2008	Friday, June 13, 1980	AW\paul-komosinski	paul-komosinski@adventureworks.com	147-555-0160	S	Paul Komosinski	147-555-0160	False	M	1	$15	68	54	True	False	Production	
30	154	749389530	858323870	Ashvini	Sharma	R	False	Network Administrator	Friday, July 4, 2008	Monday, October 25, 1976	AW\ashvini-sharma	ashvini-sharma@adventureworks.com	656-555-0119	S	Ashvini Sharma	656-555-0119	False	M	2	$32.4519	70	55	True	False	Information Services	
31	16	571658797	233069302	Kendall	Keil	C	False	Production Technician - WC50	Saturday, July 5, 2008	Saturday, December 28, 1985	AW\kendall-keil	kendall-keil@adventureworks.com	138-555-0128	M	Kendall Keil	138-555-0128	False	M	1	$11	11	25	True	False	Production	
32	143	535145551	184188301	Paula	Barreto de Mattos	M	False	Human Resources Manager	Sunday, July 6, 2008	Thursday, September 11, 1975	AW\paula-barreto	paula-barreto-de-mattos@adventureworks.com	523-555-0175	M	Paula Barreto de Mattos	523-555-0175	True	F	2	$27.1394	54	47	True	False	Human Resources	
33	214	761597760	634335025	Alejandro	McGuel	E	False	Production Technician - WC40	Sunday, July 6, 2008	Tuesday, July 5, 1988	AW\alejandro-mcguel	alejandro-mcguel@adventureworks.com	668-555-0130	S	Alejandro McGuel	668-555-0130	False	M	1	$15	52	46	True	False	Production	
34	188	271438431	60114406	Garrett	Young	R	False	Production Technician - WC30	Monday, July 7, 2008	Sunday, March 25, 1984	AW\garrett-young	garrett-young@adventureworks.com	609-555-0179	S	Garrett Young	609-555-0179	False	M	1	$9.5	34	37	True	False	Production	
35	138	160739235	386315192	Jian Shuo	Wang		False	Production Technician - WC30	Monday, July 7, 2008	Thursday, February 24, 1983	AW\jian shuo-wang	jian shuo-wang@adventureworks.com	952-555-0178	S	Jian Shuo Wang	952-555-0178	False	M	1	$9.5	36	38	True	False	Production	
36	87	586486572	521265716	Susan	Eaton	W	False	Stocker	Monday, July 7, 2008	Saturday, September 17, 1977	AW\susan-eaton	susan-eaton@adventureworks.com	943-555-0196	S	Susan Eaton	943-555-0196	False	F	1	$9	97	68	True	False	Shipping and Receiving	
37	87	337752649	521265716	Vamsi	Kuppa	N	False	Shipping and Receiving Clerk	Monday, July 7, 2008	Saturday, October 16, 1976	AW\vamsi-kuppa	vamsi-kuppa@adventureworks.com	937-555-0137	M	Vamsi Kuppa	937-555-0137	False	M	2	$9.5	95	67	True	False	Shipping and Receiving	
38	40	113695504	630184120	Alice	Ciccu	O	False	Production Technician - WC50	Monday, July 7, 2008	Friday, August 26, 1977	AW\alice-ciccu	alice-ciccu@adventureworks.com	333-555-0173	M	Alice Ciccu	333-555-0173	False	F	1	$11	95	67	True	False	Production	
39	9	276751903	309738752	Simon	Rapier	D	False	Production Technician - WC60	Tuesday, July 8, 2008	Friday, December 15, 1989	AW\simon-rapier	simon-rapier@adventureworks.com	963-555-0134	S	Simon Rapier	963-555-0134	False	M	1	$12.45	38	39	True	False	Production	
40	23	630184120	277173473	Jinghao	Liu	K	False	Production Supervisor - WC50	Tuesday, July 8, 2008	Monday, September 5, 1988	AW\jinghao-liu	jinghao-liu@adventureworks.com	794-555-0159	S	Jinghao Liu	794-555-0159	False	M	2	$25	77	58	True	False	Production	
41	186	545337468	862951447	Michael	Hines	T	False	Production Technician - WC20	Wednesday, July 9, 2008	Friday, December 15, 1989	AW\michael-hines	michael-hines@adventureworks.com	218-555-0126	S	Michael Hines	218-555-0126	False	M	1	$14	20	30	True	False	Production	
42	163	713403643	551834634	Yvonne	McKay	S	False	Production Technician - WC45	Wednesday, July 9, 2008	Sunday, November 13, 1988	AW\yvonne-mckay	yvonne-mckay@adventureworks.com	286-555-0189	M	Yvonne McKay	286-555-0189	False	F	1	$10	79	59	True	False	Production	
43	204	885055826	398223854	Peng	Wu	J	False	Quality Assurance Supervisor	Wednesday, July 9, 2008	Friday, October 17, 1975	AW\peng-wu	peng-wu@adventureworks.com	164-555-0164	M	Peng Wu	164-555-0164	True	M	2	$21.6346	81	60	True	False	Quality Assurance	
44	112	441044382	295847284	Jean	Trenary	E	False	Information Services Manager	Friday, July 11, 2008	Sunday, July 13, 1975	AW\jean-trenary	jean-trenary@adventureworks.com	685-555-0120	S	Jean Trenary	685-555-0120	True	F	2	$50.4808	65	52	True	False	Information Services	
45	76	718299860	778552911	Russell	Hunter		False	Production Technician - WC50	Saturday, July 12, 2008	Sunday, June 25, 1972	AW\russell-hunter	russell-hunter@adventureworks.com	786-555-0144	M	Russell Hunter	786-555-0144	False	M	1	$11	6	23	True	False	Production	
46	23	685233686	277173473	A. Scott	Wright		False	Master Scheduler	Saturday, July 12, 2008	Wednesday, April 17, 1968	AW\a-scott-wright	a-scott-wright@adventureworks.com	992-555-0194	S	A. Scott Wright	992-555-0194	False	M	2	$23.5577	44	42	True	False	Production Control	
47	214	295971920	634335025	Fred	Northup	T	False	Production Technician - WC40	Saturday, July 12, 2008	Monday, January 23, 1989	AW\fred-northup	fred-northup@adventureworks.com	818-555-0192	S	Fred Northup	818-555-0192	False	M	1	$15	47	43	True	False	Production	
48	7	95958330	24756624	Sariya	Harnpadoungsataya	E	False	Marketing Specialist	Saturday, July 12, 2008	Friday, December 19, 1986	AW\sariya-harnpadoungsataya	sariya-harnpadoungsataya@adventureworks.com	399-555-0176	S	Sariya Harnpadoungsataya	399-555-0176	False	M	2	$14.4231	45	42	True	False	Marketing	
49	32	332040978	535145551	Willis	Johnson	T	False	Recruiter	Sunday, July 13, 2008	Wednesday, February 15, 1978	AW\willis-johnson	willis-johnson@adventureworks.com	778-555-0141	S	Willis Johnson	778-555-0141	False	M	2	$18.2692	49	44	True	False	Human Resources	
50	40	857651804	630184120	Jun	Cao	T	False	Production Technician - WC50	Monday, July 14, 2008	Saturday, February 3, 1979	AW\jun-cao	jun-cao@adventureworks.com	299-555-0113	S	Jun Cao	299-555-0113	False	M	1	$11	90	65	True	False	Production	
51	222	553069203	141165819	Christian	Kleinerman	E	False	Maintenance Supervisor	Monday, July 14, 2008	Monday, August 18, 1975	AW\christian-kleinerman	christian-kleinerman@adventureworks.com	846-555-0157	M	Christian Kleinerman	846-555-0157	True	M	2	$20.4327	92	66	True	False	Facilities and Maintenance	
52	188	351069889	60114406	Susan	Metters	A	False	Production Technician - WC30	Monday, July 14, 2008	Sunday, October 31, 1982	AW\susan-metters	susan-metters@adventureworks.com	639-555-0164	S	Susan Metters	639-555-0164	False	F	1	$9.5	31	35	True	False	Production	
53	23	370989364	277173473	Reuben	D'sa	H	False	Production Supervisor - WC40	Tuesday, July 15, 2008	Friday, March 27, 1987	AW\reuben-dsa	reuben-dsa@adventureworks.com	191-555-0112	M	Reuben D'sa	191-555-0112	False	M	2	$25	72	56	True	False	Production	
54	126	275962311	712885347	Kirk	Koenigsbauer	J	False	Production Technician - WC45	Tuesday, July 15, 2008	Thursday, September 6, 1984	AW\kirk-koenigsbauer	kirk-koenigsbauer@adventureworks.com	669-555-0150	S	Kirk Koenigsbauer	669-555-0150	False	M	1	$10	74	57	True	False	Production	
55	20	36151748	494170342	David	Ortiz	J	False	Production Technician - WC60	Tuesday, July 15, 2008	Sunday, July 29, 1984	SQLSERVER2017\LabUser	david-ortiz@adventureworks.com	712-555-0119	M	David Ortiz	712-555-0119	False	M	1	$12.45	33	36	True	False	Production	
56	92	540688287	345106466	Tengiz	Kharatishvili	N	False	Control Specialist	Wednesday, July 16, 2008	Sunday, November 26, 1989	AW\tengiz-kharatishvili	tengiz-kharatishvili@adventureworks.com	910-555-0116	S	Tengiz Kharatishvili	910-555-0116	False	M	2	$16.8269	76	58	True	False	Document Control	
57	147	568596888	319472946	Hanying	Feng	P	False	Production Technician - WC20	Wednesday, July 16, 2008	Thursday, May 16, 1974	AW\hanying-feng	hanying-feng@adventureworks.com	319-555-0139	S	Hanying Feng	319-555-0139	False	M	1	$14	15	27	True	False	Production	
58	214	918737118	634335025	Kevin	Liu	H	False	Production Technician - WC40	Thursday, July 17, 2008	Thursday, July 25, 1985	AW\kevin-liu	kevin-liu@adventureworks.com	714-555-0138	S	Kevin Liu	714-555-0138	False	M	1	$15	58	49	True	False	Production	
59	18	801758002	446466105	Annik	Stahl	O	False	Production Technician - WC60	Thursday, July 17, 2008	Monday, July 26, 1976	AW\annik-stahl	annik-stahl@adventureworks.com	499-555-0125	M	Annik Stahl	499-555-0125	False	M	1	$12.45	17	28	True	False	Production	
60	40	415823523	630184120	Suroor	Fatima	R	False	Production Technician - WC50	Thursday, July 17, 2008	Sunday, September 25, 1977	AW\suroor-fatima	suroor-fatima@adventureworks.com	932-555-0161	S	Suroor Fatima	932-555-0161	False	M	1	$11	93	66	True	False	Production	
61	142	363923697	30845	Deborah	Poe	E	False	Accounts Receivable Specialist	Friday, July 18, 2008	Sunday, October 5, 1975	AW\deborah-poe	deborah-poe@adventureworks.com	602-555-0194	M	Deborah Poe	602-555-0194	False	F	2	$19	60	50	True	False	Finance	
62	76	674171828	778552911	Jim	Scardelis	H	False	Production Technician - WC50	Saturday, July 19, 2008	Tuesday, April 8, 1986	AW\jim-scardelis	jim-scardelis@adventureworks.com	679-555-0113	M	Jim Scardelis	679-555-0113	False	M	1	$11	1	20	True	False	Production	
63	177	138280935	578935259	Carole	Poland	M	False	Production Technician - WC30	Saturday, July 19, 2008	Thursday, May 19, 1983	AW\carole-poland	carole-poland@adventureworks.com	688-555-0192	M	Carole Poland	688-555-0192	False	F	1	$9.5	42	41	True	False	Production	
64	188	476115505	60114406	George	Li	Z	False	Production Technician - WC30	Monday, July 21, 2008	Sunday, November 14, 1976	AW\george-li	george-li@adventureworks.com	518-555-0199	M	George Li	518-555-0199	False	M	1	$9.5	26	33	True	False	Production	
65	89	502058701	750905084	Gary	Yukish	W	False	Production Technician - WC40	Tuesday, July 22, 2008	Tuesday, December 15, 1987	AW\gary-yukish	gary-yukish@adventureworks.com	901-555-0125	S	Gary Yukish	901-555-0125	False	M	1	$15	69	54	True	False	Production	
66	23	7201901	277173473	Cristian	Petculescu	K	False	Production Supervisor - WC10	Tuesday, July 22, 2008	Thursday, November 10, 1983	AW\cristian-petculescu	cristian-petculescu@adventureworks.com	434-555-0133	M	Cristian Petculescu	434-555-0133	False	M	2	$25	67	53	True	False	Production	
67	147	97728960	319472946	Raymond	Sam	K	False	Production Technician - WC20	Wednesday, July 23, 2008	Friday, September 30, 1966	AW\raymond-sam	raymond-sam@adventureworks.com	226-555-0197	M	Raymond Sam	226-555-0197	False	M	1	$14	10	25	True	False	Production	
68	44	525932996	441044382	Janaina	Bueno	Barreiro Gambaro	False	Application Specialist	Wednesday, July 23, 2008	Thursday, August 30, 1984	AW\janaina-bueno	janaina-bueno@adventureworks.com	623-555-0155	M	Janaina Bueno	623-555-0155	True	F	2	$27.4038	71	55	True	False	Information Services	
69	16	843479922	233069302	Bob	Hohman	N	False	Production Technician - WC50	Thursday, July 24, 2008	Friday, March 16, 1979	AW\bob-hohman	bob-hohman@adventureworks.com	611-555-0116	S	Bob Hohman	611-555-0116	False	M	1	$11	12	26	True	False	Production	
70	214	370487086	634335025	Shammi	Mohamed	G	False	Production Technician - WC40	Thursday, July 24, 2008	Sunday, May 4, 1980	AW\shammi-mohamed	shammi-mohamed@adventureworks.com	793-555-0179	M	Shammi Mohamed	793-555-0179	False	M	1	$15	53	46	True	False	Production	
71	40	54759846	630184120	Linda	Moschell	K	False	Production Technician - WC50	Friday, July 25, 2008	Saturday, February 14, 1987	AW\linda-moschell	linda-moschell@adventureworks.com	612-555-0171	M	Linda Moschell	612-555-0171	False	F	1	$11	96	68	True	False	Production	
72	32	619308550	535145551	Mindy	Martin	C	False	Benefits Specialist	Friday, July 25, 2008	Wednesday, June 20, 1984	AW\mindy-martin	mindy-martin@adventureworks.com	522-555-0147	M	Mindy Martin	522-555-0147	False	F	2	$16.5865	51	45	True	False	Human Resources	
73	143	121491555	184188301	Wendy	Kahn	Beth	False	Finance Manager	Friday, July 25, 2008	Friday, May 11, 1984	AW\wendy-kahn	wendy-kahn@adventureworks.com	248-555-0134	S	Wendy Kahn	248-555-0134	True	F	2	$43.2692	55	47	True	False	Finance	
74	87	420776180	521265716	Kim	Ralls	T	False	Stocker	Saturday, July 26, 2008	Tuesday, November 29, 1983	AW\kim-ralls	kim-ralls@adventureworks.com	309-555-0129	S	Kim Ralls	309-555-0129	False	F	1	$9	98	69	True	False	Shipping and Receiving	
75	138	604664374	386315192	Sandra	Reátegui Alayo		False	Production Technician - WC30	Saturday, July 26, 2008	Thursday, June 5, 1975	AW\sandra-reategui	sandra-reategui-alayo@adventureworks.com	896-555-0168	M	Sandra Reátegui Alayo	896-555-0168	False	F	1	$9.5	37	38	True	False	Production	
76	23	778552911	277173473	Kok-Ho	Loh	T	False	Production Supervisor - WC50	Sunday, July 27, 2008	Tuesday, November 27, 1979	AW\kok-ho-loh	kok-ho-loh@adventureworks.com	999-555-0155	S	Kok-Ho Loh	999-555-0155	False	M	2	$25	78	59	True	False	Production	
77	163	435234965	551834634	Douglas	Hite	B	False	Production Technician - WC45	Sunday, July 27, 2008	Monday, June 24, 1985	AW\douglas-hite	douglas-hite@adventureworks.com	808-555-0172	M	Douglas Hite	808-555-0172	False	M	1	$10	80	60	True	False	Production	
78	9	339712426	309738752	James	Kramer	D	False	Production Technician - WC60	Sunday, July 27, 2008	Thursday, February 23, 1984	AW\james-kramer	james-kramer@adventureworks.com	119-555-0117	M	James Kramer	119-555-0117	False	M	1	$12.45	39	39	True	False	Production	
79	43	403414852	885055826	Sean	Alexander	P	False	Quality Assurance Technician	Monday, July 28, 2008	Sunday, October 5, 1975	AW\sean-alexander	sean-alexander@adventureworks.com	420-555-0173	S	Sean Alexander	420-555-0173	False	M	2	$10.5769	82	61	True	False	Quality Assurance	
80	186	368920189	862951447	Nitin	Mirchandani	S	False	Production Technician - WC20	Monday, July 28, 2008	Tuesday, July 1, 1986	AW\nitin-mirchandani	nitin-mirchandani@adventureworks.com	143-555-0173	S	Nitin Mirchandani	143-555-0173	False	M	1	$14	21	30	True	False	Production	
81	162	811994146	134969118	Diane	Margheim	L	False	Research and Development Engineer	Tuesday, July 29, 2008	Friday, January 3, 1986	AW\diane-margheim	diane-margheim@adventureworks.com	815-555-0138	S	Diane Margheim	815-555-0138	True	F	2	$40.8654	62	51	True	False	Research and Development	
82	18	330211482	446466105	Rebecca	Laszlo	A	False	Production Technician - WC60	Tuesday, July 29, 2008	Thursday, February 4, 1988	AW\rebecca-laszlo	rebecca-laszlo@adventureworks.com	314-555-0113	M	Rebecca Laszlo	314-555-0113	False	F	1	$12.45	23	31	True	False	Production	
83	214	632092621	634335025	Rajesh	Patel	M	False	Production Technician - WC40	Thursday, July 31, 2008	Wednesday, May 4, 1977	AW\rajesh-patel	rajesh-patel@adventureworks.com	373-555-0137	M	Rajesh Patel	373-555-0137	False	M	1	$15	48	44	True	False	Production	
84	32	264306399	535145551	Vidur	Luthra	X	False	Recruiter	Friday, August 1, 2008	Thursday, March 1, 1984	AW\vidur-luthra	vidur-luthra@adventureworks.com	153-555-0186	S	Vidur Luthra	153-555-0186	False	M	2	$18.2692	50	45	True	False	Human Resources	
85	40	981597097	630184120	John	Evans	P	False	Production Technician - WC50	Friday, August 1, 2008	Thursday, December 29, 1977	AW\john-evans	john-evans@adventureworks.com	172-555-0130	S	John Evans	172-555-0130	False	M	1	$11	91	65	True	False	Production	
86	9	693325305	309738752	Nancy	Anderson	A	False	Production Technician - WC60	Saturday, August 2, 2008	Sunday, June 19, 1988	AW\nancy-anderson	nancy-anderson@adventureworks.com	970-555-0118	M	Nancy Anderson	970-555-0118	False	F	1	$12.45	34	37	True	False	Production	
87	23	521265716	277173473	Pilar	Ackerman	G	False	Shipping and Receiving Supervisor	Saturday, August 2, 2008	Sunday, April 9, 1972	AW\pilar-ackerman	pilar-ackerman@adventureworks.com	577-555-0185	S	Pilar Ackerman	577-555-0185	True	M	2	$19.2308	93	66	True	False	Shipping and Receiving	
88	188	746373306	60114406	David	Yalovsky	A	False	Production Technician - WC30	Saturday, August 2, 2008	Tuesday, March 3, 1981	SQLSERVER2017\LabUser	david-yalovsky@adventureworks.com	373-555-0142	S	David Yalovsky	373-555-0142	False	M	1	$9.5	32	36	True	False	Production	
89	23	750905084	277173473	David	Hamilton	P	False	Production Supervisor - WC40	Sunday, August 3, 2008	Sunday, January 30, 1983	SQLSERVER2017\LabUser	david-hamilton@adventureworks.com	986-555-0177	S	David Hamilton	986-555-0177	False	M	2	$25	73	56	True	False	Production	
90	126	514829225	712885347	Laura	Steele	C	False	Production Technician - WC45	Sunday, August 3, 2008	Friday, July 25, 1980	AW\laura-steele	laura-steele@adventureworks.com	777-555-0141	S	Laura Steele	777-555-0141	False	F	1	$10	75	57	True	False	Production	
91	18	750246141	446466105	Margie	Shoop	W	False	Production Technician - WC60	Monday, August 4, 2008	Wednesday, December 18, 1985	AW\margie-shoop	margie-shoop@adventureworks.com	818-555-0128	M	Margie Shoop	818-555-0128	False	F	1	$12.45	18	29	True	False	Production	
92	204	345106466	398223854	Zainal	Arifin	T	False	Document Control Manager	Monday, August 4, 2008	Saturday, August 30, 1975	AW\zainal-arifin	zainal-arifin@adventureworks.com	204-555-0115	M	Zainal Arifin	204-555-0115	False	M	2	$17.7885	77	58	True	False	Document Control	
93	214	19312190	634335025	Lorraine	Nay	O	False	Production Technician - WC40	Monday, August 4, 2008	Sunday, June 26, 1988	AW\lorraine-nay	lorraine-nay@adventureworks.com	845-555-0184	M	Lorraine Nay	845-555-0184	False	F	1	$15	49	44	True	False	Production	
94	147	212801092	319472946	Fadi	Fakhouri	K	False	Production Technician - WC20	Monday, August 4, 2008	Thursday, September 15, 1988	AW\fadi-fakhouri	fadi-fakhouri@adventureworks.com	935-555-0116	S	Fadi Fakhouri	935-555-0116	False	M	1	$14	16	28	True	False	Production	
95	53	769680433	370989364	Ryan	Cornelsen	L	False	Production Technician - WC40	Tuesday, August 5, 2008	Wednesday, January 12, 1972	AW\ryan-cornelsen	ryan-cornelsen@adventureworks.com	208-555-0114	M	Ryan Cornelsen	208-555-0114	False	M	1	$15	59	49	True	False	Production	
96	142	60517918	30845	Candy	Spoon	L	False	Accounts Receivable Specialist	Wednesday, August 6, 2008	Tuesday, September 23, 1975	AW\candy-spoon	candy-spoon@adventureworks.com	920-555-0177	S	Candy Spoon	920-555-0177	False	F	2	$19	61	50	True	False	Finance	
97	76	431859843	778552911	Nuan	Yu		False	Production Technician - WC50	Wednesday, August 6, 2008	Friday, October 27, 1978	AW\nuan-yu	nuan-yu@adventureworks.com	913-555-0184	S	Nuan Yu	913-555-0184	False	M	1	$11	2	21	True	False	Production	
98	46	621209647	685233686	William	Vong	S	False	Scheduling Assistant	Thursday, August 7, 2008	Saturday, June 6, 1981	AW\william-vong	william-vong@adventureworks.com	148-555-0145	M	William Vong	148-555-0145	False	M	2	$16	45	42	True	False	Production Control	
99	46	621209647	685233686	William	Vong	S	False	Scheduling Assistant	Thursday, August 7, 2008	Saturday, June 6, 1981	AW\william-vong	william-vong@adventureworks.com	148-555-0145	M	William Vong	148-555-0145	False	M	2	$16	45	42	True	False	Production Control	
100	177	420023788	578935259	Bjorn	Rettig	M	False	Production Technician - WC30	Thursday, August 7, 2008	Tuesday, June 6, 1989	AW\bjorn-rettig	bjorn-rettig@adventureworks.com	199-555-0117	S	Bjorn Rettig	199-555-0117	False	M	1	$9.5	43	41	True	False	Production	
